name,country,order,centroid_lat,centroid_lon,website,fb_group,fb_page
Slackline Veracurz,MX,Veracurz,19.17377,-96.13422,,,https://www.facebook.com/queretaroslackline
Slacklife New Mexico,US,New Mexico,34.51994,-105.8701,,https://www.facebook.com/groups/1051972498178316,
Slackline Querétaro,MX,Querétaro,20.58882,-100.3899,,https://www.facebook.com/groups/slacklining.nederland,
Slacklining Nederland,NL,,52.13263,5.291266,,https://www.facebook.com/groups/slacklining.nederland/,
Eindhoven Slackline,NL,Eindhoven,51.44164,5.469722,,https://www.facebook.com/groups/1420424851503917/,
Slackline group Amsterdam,NL,Amsterdam,52.37022,4.895168,,https://www.facebook.com/groups/363163180393843/,
Slackline Apeldoorn,NL,Apeldoorn,52.21116,5.969923,,https://www.facebook.com/groups/243594492449563/,
Slackline Groningen,NL,Groningen,53.21938,6.566502,,https://www.facebook.com/groups/157702354291774/,
Slacklining Haarlem,NL,Haarlem,52.38739,4.646219,,https://www.facebook.com/groups/121667184661639/,
Slackline Leeuwarden,NL,Leeuwarden,53.20123,5.799913,,https://www.facebook.com/groups/SlacklineLeeuwarden/,
Slackline Rotterdam,NL,Rotterdam,51.92442,4.477733,,https://www.facebook.com/groups/slacklinerotterdam/,
Slackline Tilburg,NL,Tilburg,51.5606,5.091914,,https://www.facebook.com/groups/278958428884196/,
Slackline Wageningen,NL,Wageningen,51.96919,5.665395,,https://www.facebook.com/groups/155433751268503/,
Slackline Zwolle,NL,Zwolle,52.51677,6.083022,,https://www.facebook.com/groups/144626262375154/,
Slackline New Zealand,NZ,,-40.90056,174.886,,,https://www.facebook.com/SlacklineNewZealand/
New Zealand Slacklining Community,NZ,,-40.90056,174.886,,https://www.facebook.com/groups/103987436312623/,
Christchurch Slackline,NZ,Christchurch,-43.53205,172.6362,,https://www.facebook.com/groups/slackline.christchurch/,
Slacklife Queenstown,NZ,Queenstown,-45.03116,168.6626,,,https://www.facebook.com/SlacklifeQueenstown/
Slackline Oslo,NO,Oslo,59.91387,10.75224,,https://www.facebook.com/groups/311901485553492/,
Bergen Slakkline,NO,Bergen,60.39126,5.322054,,https://www.facebook.com/groups/107409712755/,
Slackline Lublin,PL,Lublin,51.24645,22.56845,,https://www.facebook.com/groups/251917658172393,
Slackline Lublin,PL,Lublin,51.24645,22.56845,,https://www.facebook.com/groups/582310955139603/,
Slackline Białystok,PL,Białystok,53.13249,23.16884,,https://www.facebook.com/groups/426400494076138/,
Slackline Warszawa w Parku Skaryszewskim,PL,Warsaw,52.22968,21.01223,,https://www.facebook.com/groups/411385045555348/,
Slackline Wrocław,PL,Wroclaw,51.10788,17.03854,,https://www.facebook.com/groups/137728586266069/,https://www.facebook.com/SlacklineWroclaw/
Slackline Poznań,PL,Poznań,52.40638,16.92517,,https://www.facebook.com/groups/slacklinepoznan/,
Slackline Biała Podlaska,PL,Biala Podlaska,52.03871,23.1445,,https://www.facebook.com/groups/188246078016938,
Slackline Białystok,PL,Białystok,53.13249,23.16884,,https://www.facebook.com/groups/426400494076138/,
Slackline Bielsko,PL,Bielsko,49.82238,19.05838,,https://www.facebook.com/groups/279192868915669/,
Slackline Bydgoszcz,PL,Bydgoszcz,53.12348,18.00844,,https://www.facebook.com/groups/1406643109559822/,
Slackline Dzierżoniów,PL,Dzierżoniów,50.73086,16.65679,,https://www.facebook.com/groups/682946961732296/,
Slackline Gostynin,PL,Gostynin,52.42933,19.46192,,https://www.facebook.com/groups/369876393165676/,
Slackline Inowrocław,PL,Inowrocław,52.79933,18.2562,,https://www.facebook.com/groups/904701936212286/,
Slackline Katowice,PL,Katowice,50.26489,19.02378,,https://www.facebook.com/groups/261455523996344/,
Slackline Kielce,PL,Kielce,50.86608,20.62857,,https://www.facebook.com/groups/SlacklineKielce/,
Slackline Kraków,PL,Kraków,50.06465,19.94498,,https://www.facebook.com/groups/343776159039263/,
Slackline / Wspinaczka - Kudowa-Zdrój,PL,Kudowa-Zdrój,50.44271,16.24266,,https://www.facebook.com/groups/590115154374821/,
Slackline Łódź,PL,Łódź,51.75925,19.45598,,https://www.facebook.com/groups/140846886039881/,
Slackline Olsztyn,PL,Olsztyn,53.77842,20.48012,,https://www.facebook.com/groups/1467105526931022/,
Slackline Oława,PL,Oława,50.94593,17.2924,,https://www.facebook.com/groups/572479572858569/,
Slackline Opole,PL,Opole,50.67511,17.9213,,https://www.facebook.com/groups/1616680595213501/,
Slackline Piła,PL,Piła,53.15097,16.73823,,https://www.facebook.com/groups/987648581280459/,
Slackline Płock,PL,Płock,52.54634,19.70654,,https://www.facebook.com/groups/107385732798492/,https://www.facebook.com/SlacklinePlock/
Slackline Polanica-Zdrój,PL,Polanica-Zdrój,50.41191,16.51481,,https://www.facebook.com/groups/1537028276610232/,
Slackline Rzeczka - Walim,PL,Rzeczka,50.66902,16.45827,,https://www.facebook.com/groups/313535965420881/,
SlackRes (Slackline Rzeszow),PL,Rzeszow,50.04119,21.99912,,https://www.facebook.com/groups/1429362413967606/,https://www.facebook.com/SlackRes
Slackline.Szczecin,PL,Szczecin,53.42854,14.55281,,https://www.facebook.com/groups/1581440775466325/,
Slackline TG,PL,Tarnowskie Góry,50.43595,18.84603,,https://www.facebook.com/groups/225363607512985/,
Slackline Toruń,PL,Toruń,53.01379,18.59844,,https://www.facebook.com/groups/slcklinetorun/,
SLACKLINE 3MIASTO,PL,Trójmiasto,54.35845,18.64675,,https://www.facebook.com/groups/213600408790113/,
Slackline Tychy,PL,Tychy,50.1218,19.02,,https://www.facebook.com/groups/798172550227152/,
Slackline Wadowice,PL,Wadowice,49.88279,19.49396,,https://www.facebook.com/groups/1115844621765937/,
Slackline Warszawa,PL,Warszawa,52.22968,21.01223,,https://www.facebook.com/groups/381689018510555/,
Slackline Zabrze,PL,Zabrze,50.32493,18.78572,,https://www.facebook.com/groups/290844527675377/,
Slackline Zielona Góra,PL,Zielona Góra,51.93562,15.50619,,https://www.facebook.com/groups/slacklineZG/,
Dragons Slackline Żmigród,PL,Żmigród,51.46654,16.90582,,,https://www.facebook.com/slackdwatrzy
SlackOn,PL,,51.91944,19.14514,,,https://www.facebook.com/SlackOnPL
Akcje highlinowe Polska,PL,,51.91944,19.14514,,https://www.facebook.com/groups/130489630381100/,
SlackChat PL,PL,,51.91944,19.14514,,https://www.facebook.com/groups/219793414836323,
