Country/State,City/Region,Group Name,Link,Latitude,Longitude,Merged?,Map Link
,Steyr,slackline bande steyr,www.facebook.com/groups/150738058316052,,,No
,St. Pölten,Slackline-treff St.Pölten,www.facebook.com/groups/1582386848742309,,,No
,Tyrol,Tiroliners - Slacklinen in Tirol,https://www.facebook.com/Tiroliners,47.302313468218784,11.297508703960204,Yes,"https://www.google.com/maps/@47.302313468218784,11.297508703960204,15z"
,Vienna,Vienna Slackliners (page),https://www.facebook.com/viennaslackliners/,48.1442754777153,16.356791360799,Yes,"https://www.google.com/maps/@48.1442754777153,16.356791360799,15z"
,Vienna,Vienna Slackliners (group),https://www.facebook.com/groups/viennaslackliners/,48.1442754777153,16.356791360799,Yes,"https://www.google.com/maps/@48.1442754777153,16.356791360799,15z"
,Vorarlberg,Gruppe: Slackline Vorarlberg,https://www.facebook.com/groups/239213182939946/,,,No
,Vorarlberg,Slackline Vorarlberg,https://www.facebook.com/slacklinevorarlberg/,47.2382133575154,9.89859043557232,Yes,"https://www.google.com/maps/@47.2382133575154,9.89859043557232,15z"
BELGIUM,Countrywide,Slackline Belgium,https://www.facebook.com/groups/2962240000/,50.50389,4.469936,Yes,"https://www.google.com/maps/@50.50389,4.469936,15z"
,Countrywide,Slackline Belgium (nl),https://www.facebook.com/groups/100797709993181/,50.50389,4.469936,Yes,"https://www.google.com/maps/@50.50389,4.469936,15z"
,Countrywide,Belgium Highline group,https://www.facebook.com/groups/177523902951400/,,,No
,Countrywide,Slackline Gent,https://www.facebook.com/groups/123780697722435/,,,No
,Aalst,Slackline Aalst,https://www.facebook.com/groups/1421278878127089/,,,No
,Antwerp,Slackline Antwerpen,https://www.facebook.com/groups/1407577446176946/,51.21945,4.402464,Yes,"https://www.google.com/maps/@51.21945,4.402464,15z"
,Bruges,Slackline Bruges,https://www.facebook.com/groups/1615559928685413/,,,No
,Bruges,Slackline Bruges (Brugge),https://www.facebook.com/groups/slacklinebrugge,,,No
,Brussels,BeSlack,https://www.facebook.com/BeSlackASBL/,50.85034,4.35171,Yes,"https://www.google.com/maps/@50.85034,4.35171,15z"
,Brussels,Slackline Bruxelles - Brussels - BX,www.facebook.com/groups/1441383392810039/,,,No
,Kortrijk,Slackline Kortrijk,https://www.facebook.com/groups/286531498180983,,,No
,Liege,Slack-in Liege,https://www.facebook.com/groups/325253400861405/,50.63256,5.579666,Yes,"https://www.google.com/maps/@50.63256,5.579666,15z"
,Liege,Slackline region Liege,https://www.facebook.com/groups/452414724957337/,,,No
,Leuven,Slack-Leuven,https://www.facebook.com/groups/1514284422184421/,50.87984,4.700518,Yes,"https://www.google.com/maps/@50.87984,4.700518,15z"
,Leuven,Slackline Leuven/Mechelen,https://www.facebook.com/groups/539665922810701/,,,No
,Leuven,Slacklining by ESN Leuven,https://www.facebook.com/groups/660978264065172/,,,No
,Mechelen,slackline Mechelen,www.facebook.com/groups/1464792160430921,51.02964386935628,4.480104956079856,Yes,"https://www.google.com/maps/@51.02964386935628,4.480104956079856,15z"
,Mechelen,Slackline Leuven/Mechelen,https://www.facebook.com/groups/539665922810701/,,,No
,Mons,Slackline and AcroYoga Mons,https://www.facebook.com/groups/138357376707533/,,,No
,Poperinge,Slackline Poperinge,https://www.facebook.com/groups/915685111824943/,,,No
,Tournai,Slackline Tournai,https://www.facebook.com/groups/736381096397115/,,,No
BOLIVIA,Countrywide,Slackline Bolivia,https://www.facebook.com/SlacklineBolivia,,,No
