Country/State,City/Region,Group Name,Link,Latitude,Longitude
,Iporá (GO),SlackLine Iporá,https://www.facebook.com/groups/442216295861864/,,
,Itatiba (SP),Slacklife Itatiba ,https://www.facebook.com/groups/1185037674862788/,,
,Itaqui (RS),Slackline itaqui -RS,www.facebook.com/Slackline-itaqui-RS-235975016553317/,,
,Itaqui (RS),Slackline Itaqui - RS,https://www.facebook.com/groups/642451089098739/,,
,Itororó (BA),Pé Rachado Slackline Itororó Bahia ,www.facebook.com/groups/369392166453194,,
,Itumbiara (GO),Slackline Itumbiara,https://www.facebook.com/groups/255402257893094/,,
,Jacumã (PB),Slackline jacuma,www.facebook.com/slackline.jacuma/,,
,Jaraguá do Sul (SC),Slackline Jaraguá,https://www.facebook.com/Slackjaragua/,,
,Jaraguá do Sul (SC),Slackline - Jaraguá do Sul,https://www.facebook.com/groups/122082294668190/,,
,Jataí (GO),Slackline Jataí,https://www.facebook.com/groups/436571829726476/,,
,João Pessoa (PB), Slackline - João Pessoa-PB, www.fb.com/groups/slacklinejoaopessoa/,,
,Joinville (SC),Slacklife Joinville ,https://www.facebook.com/groups/1062114287180947/,,
,Jundiaí (SP),Jundiaí Slackers,https://www.facebook.com/groups/640825992609620/,,
,Lajeado (RS),Slackline Lajeado - RS,https://www.facebook.com/groups/154422854734824/,,
,Lages,SlackLine Lages ,https://www.facebook.com/SlackLine-Lages-1272030392858036/,,
,Lençóis Paulista (SP),Slackline Lençóis Paulista, www.fb.com/groups/1871034513120687/,,
,Linhares (ES),Slackline - Linhares ,https://www.facebook.com/groups/399444276779625,,
,Macaé (RJ),#Slacklife - Macaé,https://www.facebook.com/groups/387526378006439/,,
,Macapá (AP),Amazônia Slackline,https://www.facebook.com/AmazoniaSlack/,,
,Machado (MG) ,Slackline Machado MG-Slacklife,www.fb.com/groups/332820450258526/,,
,Marabá (MG),Slackline Marabá,https://www.facebook.com/groups/544514465560539/,,
,Matinhos (PR),Curtam nossa pagina: Slackline Matinhos-PR,fb.com/groups/581722101847307/,,
,Mauá (SP),slackline mauá ,https://www.facebook.com/groups/790935567691651/,,
,Maués (AM),Maués Slackline ,https://www.facebook.com/MauesSlackline/,,
,Medianeira (PR) ,Slackline Medianeira ,https://www.facebook.com/slackmed/,,
,Mineiros (GO) ,Slackline Mineiros,https://www.facebook.com/groups/1392765141009675/,,
,Mossoró (RN),Slackline - Mossoró ,https://www.facebook.com/SlackLineMossoro/,,
,Natal (RN),[ NA FITA ] RN - Slackline Natal ,www.facebook.com/groups/245448848866141/,,
,Niterói (RJ),Slackline - Niterói,https://www.facebook.com/groups/101212196600404/,,
,Osasco (SP),Slackline Osasco/SP, https://www.facebook.com/groups/712600118836795/,,
,Ouro Branco (MG),Slacklife OB, https://www.facebook.com/groups/495288443849893/,,
,Paracatu (PR),Flying Monkeys Slackline -- Paracatu MG ,fb.com/groups/253562114789405,,
,Paragominas (MG),slackline Paragominas 🌲_____🌲,www.fb.com/groups/1952634078395611/,,
,Paraiba (PB),Slack Paraíba,https://www.facebook.com/slacklinejampapb,,
,Paraná (PR),Slackline Paraná, https://www.facebook.com/SlacklineParana,,
,Paraná (PR),Slackline Parana,https://www.facebook.com/groups/874961949228941,,
,Parauapebas (MG),Slackline Parauapebas,fb.com/Slackline-Parauapebas-1537410913211516/,,
,Parintins (AM),Slackline Parintins,https://www.facebook.com/SlacklineParinti/,,
,Parintins (AM),Slackline Parintins OFC,https://www.facebook.com/slacklineparintinsofc/,,
,Parnaiba (PI),Slackline- Parnaiba/ PI ,https://www.facebook.com/groups/257544101004320/,,
,Passo Fundo (RS),“Slacklife PF”,https://www.facebook.com/groups/787029691348371/,,
,Passo Fundo (RS),Slackline - Passo Fundo,https://www.facebook.com/groups/532269026814814/,,
,Patos de Minas (MG),SlackPatos - Slackline Patos de Minas,fb.com/groups/108217299374158,,
,Paulista (PE),Slackline paulista PE,www.fb.com/Slackline-paulista-PE-648959621846198/,,
,Pelotas (RS),SlackLine - Pelotas,https://www.facebook.com/groups/256208061101104/,,
,Petrópolis (RJ),Slackline Petrópolis,https://www.facebook.com/groups/301971046525512/,,
,Piripiri (PI),Slackline Piripiri,https://www.facebook.com/groups/359882600804417/,,
,Poços de Caldas (PR),Vulcano Slacklife,https://www.facebook.com/groups/234162200067792/,,
,Porto Alegre (RS),SLACKLINE Porto Alegre - RS, https://www.facebook.com/groups/515968415197401/,,
,Porto Alegre (RS),SlackPoints Slackline Porto Alegre - novidades e picos por ae…,www.fb.com/groups/slacklineportoalegre/,,
,Porto Seguro (BA), Slackline ---> Porto Seguro-Bahia,www.fb.com/groups/252898698064675,,
,Porto Velho (RO),Slackline Porto Velho/RO,https://www.facebook.com/groups/751268841668214/,,
,Porto Velho (RO),Slackline Pvh,https://www.facebook.com/SlackJumperes/,,
,Praia Grande (SP),Slacklife / Reta do Slack, www.facebook.com/groups/219114854949708/,,
,Recife (PE),Slackline Recife,https://www.facebook.com/groups/slackrecife/,,
,Ribeirão Preto (SP),Slackline Ribeirão Preto,www.facebook.com/groups/1516707398548573/,,
,Rio Das Ostras (RJ),Slackline (Rio das Ostras),www.fb.com/groups/381978221838440/,,
,Rio De Janeiro (RJ),Slackline - Parque do Flamengo (Rio de Janeiro),www.fb.com/groups/202137713153921,,
,Rio Grande do Sul (RS) ,Slackline Rio Grande,https://www.facebook.com/groups/149074821909341/,,
,Rio Grande do Sul (RS) ,Slackline Rio Grande do Sul,www.facebook.com/groups/slackline.gaucho/,,
,Rondonópolis (MT),SLACKLINE E RAPHEL RONDONOPOLIS,www.facebook.com/groups/353219924790114/,,
,Rondonópolis (MT),Slackline Rondonópolis ,https://www.facebook.com/slacklinerondonopolis/,,
,Rosario (MA) ,Grupo Slackline Rosario, https://www.facebook.com/groups/188057147896826/,,
,Salvador (BA) ,Slackline Salvador,https://www.facebook.com/groups/slacklinesalvador,,
,Salvador (BA) ,SlackLine Team Salvador,https://www.facebook.com/groups/522499371180919/,,
,Santa Helena (MA),sLaCkLiNe - Santa Helena,www.facebook.com/groups/196366210502592/,,
,Santa Luzia (MG),SLACKLINE SANTA LUZIA,www.facebook.com/groups/266171146865142/,,
,Santa Maria (RS), Slacklife Santa Maria,https://www.facebook.com/groups/189237711274120/,,
,Santarém (MG),Slackline.Santarém,https://www.facebook.com/SlacklineSTR/,,
,Santa Rita (PB),Slackline Santa Rita,https://www.facebook.com/SlacklineSantaRita/,,
,Santo Ângelo (RS),Slackline Santo  ngelo/RS,www.facebook.com/groups/352286928179398/,,
,São João da Boa Vista (SP),Slackline - São João da Boa Vista,fb.com/groups/slacklinesaojoao,,
,São José (SP),Slackline - São José dos Campos e Região,fb.com/groups/279494748804001,,
,São Leopoldo (RS) ,Slack Points Slackline São Leopoldo - novidades e picos por aí…,www.facebook.com/groups/535035653207257/,,
,São Luis (MA), Slackline São Luis, https://www.facebook.com/groups/118245958371132/,,
,São Mateus (ES),Slackline São Mateus,https://www.facebook.com/groups/190643201078225/,,
,São Paulo (SP),Slackline São Paulo,https://www.facebook.com/SlackSP,,
,Sinop (MT),Slackline Sinop-MT,https://www.facebook.com/slacklinesinop/,,
,Sobradinho (BA),SlackLine Sobradinho/BA (#slacklife),fb.com/groups/252724498422088,,
,Sorocaba (SP),SlackLine Sorocaba,https://www.facebook.com/groups/slaclinesorocaba/,,
,Teresina (PI) ,Slackline - Teresina-PI,www.facebook.com/groups/193498270727510/,,
,Timon (MA),Slackline - Timon - MA,https://www.facebook.com/groups/521256467959760/,,
,Tucano (BA),Slackline tucano,https://www.facebook.com/groups/307343875993477/,,
,Tucano (BA),Slackline - Tucano - Bahia,https://www.facebook.com/groups/417976684922863,,
,Tucuruí (MG),Slackline Tucuruí,https://www.facebook.com/slacklinetucurui/,,
,Uberaba (MG),"ASSOC. DE ESPORTES RADICAIS DE UBERABA(Skate,BMX,Patins,Slackline e outros)",www.facebook.com/groups/590361317648131/,,
,Uberlândia (MG),SlackForce Uberaba-MG,https://www.facebook.com/slackforce/,,
,Uberlândia (MG),SlackFriends Uberaba-Mg,https://www.facebook.com/groups/1534586123461236/,,
,Uberlândia (MG),SlackLine Uberlândia - MG,https://www.facebook.com/groups/496599617038867/,,
,Uruguaiana (RS),SLACKLINE FRONTEIRA OESTE- URUGUAIANA - RS,fb.com/groups/1450201248563938/,,
,Uruguaiana (RS),Slackline Uruguaiana,www.facebook.com/slacklineuruguaiana/,,
,Venâncio Aires (RS), Slackline Venâncio Aires - RS,www.fb.com/groups/slackline.gauderio/,,
,Viamão (RS),Slackpoint Viamão,https://www.facebook.com/groups/1650047785207213/,,
,Vila Matilde (SP),SlackLife Vila Matilde,https://www.facebook.com/groups/676847535736487/,,
,Vitória (ES),SlackLine Vitória-ES,https://www.facebook.com/groups/359082254200688/,,
,Vitória (PE),Slackline Vitória,https://www.facebook.com/SlacklineVitoria/,,
,Volta Redonda (RJ),Slackline Volta Redonda,www.fb.com/groups/slacklinevoltaredonda/,,
,Votuporanga (SP),Slackline Votuporanga .: Slacklife style :.,fb.com/groups/296472113726615,,
,,,,,
BULGARIA,Countrywide,Slacklining Bulgaria,https://www.facebook.com/groups/SlackliningBulgaria,,
