Country/State,City/Region,Group Name,Link,Latitude,Longitude,Merged?,Map Link
,Aalst,Slackline Aalst,https://www.facebook.com/groups/1421278878127089/,50.941466,4.039468,No,"https://www.google.com/maps/@50.941466,4.039468,17z"
,Antwerp,Slackline Antwerpen,https://www.facebook.com/groups/1407577446176946/,51.21945,4.402464,Yes,"https://www.google.com/maps/@51.21945,4.402464,15z"
,Bruges,Slackline Bruges,https://www.facebook.com/groups/1615559928685413/,51.202919,3.226773,No,"https://www.google.com/maps/place/Florentino+Ameghino+Park/@-34.6364552,-58.3962966,17z/data=!3m1!4b1!4m5!3m4!1s0x95bccb3e01e6ac0f:0xb113b8232265ebcf!8m2!3d-34.6364552!4d-58.3941079"
,Bruges,Slackline Bruges (Brugge),https://www.facebook.com/groups/slacklinebrugge,51.202919,3.226773,No,"https://www.google.com/maps/place/Florentino+Ameghino+Park/@-34.6364552,-58.3962966,17z/data=!3m1!4b1!4m5!3m4!1s0x95bccb3e01e6ac0f:0xb113b8232265ebcf!8m2!3d-34.6364552!4d-58.3941079"
,Brussels,BeSlack,https://www.facebook.com/BeSlackASBL/,50.85034,4.35171,Yes,"https://www.google.com/maps/@50.85034,4.35171,15z"
,Brussels,Slackline Bruxelles - Brussels - BX,www.facebook.com/groups/1441383392810039/,50.85034,4.35171,No,"https://www.google.com/maps/@50.85034,4.35171,15z"
,Kortrijk,Slackline Kortrijk,https://www.facebook.com/groups/286531498180983,50.827105,3.26261,No,https://goo.gl/maps/JLoKEP4LiDEMcgH36
,Liege,Slack-in Liege,https://www.facebook.com/groups/325253400861405/,50.63256,5.579666,Yes,"https://www.google.com/maps/@50.63256,5.579666,15z"
,Liege,Slackline region Liege,https://www.facebook.com/groups/452414724957337/,50.635329,5.582392,No,https://goo.gl/maps/wK816Y1PYwysfbNA7
,Leuven,Slack-Leuven,https://www.facebook.com/groups/1514284422184421/,50.87984,4.700518,Yes,"https://www.google.com/maps/@50.87984,4.700518,15z"
,Leuven,Slackline Leuven/Mechelen,https://www.facebook.com/groups/539665922810701/,50.942861,4.57907,No,"https://www.google.com/maps/place/Florentino+Ameghino+Park/@-34.6364552,-58.3962966,17z/data=!3m1!4b1!4m5!3m4!1s0x95bccb3e01e6ac0f:0xb113b8232265ebcf!8m2!3d-34.6364552!4d-58.3941079"
,Leuven,Slacklining by ESN Leuven,https://www.facebook.com/groups/660978264065172/,50.87984,4.700518,No,"https://www.google.com/maps/@50.87984,4.700518,15z"
,Mechelen,slackline Mechelen,www.facebook.com/groups/1464792160430921,51.02964387,4.480104956,Yes,"https://www.google.com/maps/@51.02964386935628,4.480104956079856,15z"
,Mechelen,Slackline Leuven/Mechelen,https://www.facebook.com/groups/539665922810701/,51.028592,4.479768,No,https://goo.gl/maps/HtiKGJf6R9cAukG39
,Mons,Slackline and AcroYoga Mons,https://www.facebook.com/groups/138357376707533/,50.459329,3.953908,No,https://goo.gl/maps/CgFLeWqnDKQtt4ue9
